subject (label),predicate,object,gold_standard
King of Hearts (Alice's Adventures in Wonderland),http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02wvjm9,"""correct"""
Drone music,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/052smk,"""correct"""
Far North Line,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/9/9c/The_Main_Line_-_geograph.org.uk_-_963903.jpg,"""incorrect"""
Life. Be in it.,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.lifebeinit.org/index.php%3Furi%3Dmedia/2000.11.07,"""incorrect"""
"Indian Shores, Florida",http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/5/53/Map_of_Florida_highlighting_Indian_Shores.svg,"""correct"""
"Goble, Oregon",http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Goble_Oregon_train_sign.jpg/200px-Goble_Oregon_train_sign.jpg,"""correct"""
Les Incompétents,http://xmlns.com/foaf/0.1/homepage,http://www.lesincompetents.co.uk/,"""incorrect"""
Pavlovo-Posadsky District,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/03fm5l,"""correct"""
Teo Chee Hean,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Teo_Chee_Hean.jpg/200px-Teo_Chee_Hean.jpg,"""correct"""
Bic Cristal,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.bicworld.com/index_en.asp,"""incorrect"""
593rd Sustainment Brigade (United States),http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/03gvb39,"""correct"""
Christine McCafferty,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.chrismccaffertymp.org.uk,"""incorrect"""
Gareth Emery,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/069zyg,"""correct"""
Ohio State Route 124,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/OH-134.svg/200px-OH-134.svg.png,"""incorrect"""
Trinidad and Tobago dollar,http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template%3AInfobox_Currency,"""incorrect"""
Mahoning Creek (Allegheny River),http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/USACE_Mahoning_Creek_Lake_and_Dam.jpg/200px-USACE_Mahoning_Creek_Lake_and_Dam.jpg,"""correct"""
Viglen,http://dbpedia.org/ontology/wikiPageExternalLink,http://viglen.software2.co.uk,"""correct"""
Fuentespalda,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Escut_de_Fontdespatla.svg/200px-Escut_de_Fontdespatla.svg.png,"""correct"""
Matthew Crosby,http://dbpedia.org/property/wikiPageUsesTemplate,http://dbpedia.org/resource/Template%3AInfobox_comedian,"""incorrect"""
Charles Boissevain,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/CharlesBoissevain.jpg/200px-CharlesBoissevain.jpg,"""correct"""
Vailly-sur-Aisne,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Blason_Vailly-sur-Aisne.svg/200px-Blason_Vailly-sur-Aisne.svg.png,"""correct"""
Harrow School,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/019vsw,"""correct"""
India Cements,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0416jhb,"""correct"""
Arriva London,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.arrivalondon.com/,"""correct"""
Vailly-sur-Aisne,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/1/15/Blason_Vailly-sur-Aisne.svg,"""correct"""
TerraSAR-X,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/en/0/0b/TerraSARX_Logo.png,"""correct"""
Bart Palaszewski,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/7/79/WEC_53_BARTIMUS.jpg/200px-WEC_53_BARTIMUS.jpg,"""correct"""
Interlaced video,http://dbpedia.org/ontology/thumbnail,http://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Deinterlaced_vs_interlaced_image.gif/200px-Deinterlaced_vs_interlaced_image.gif,"""correct"""
Vincenzo Iaquinta,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/05z1yg,"""correct"""
Zheng Zhu,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/09g89qg,"""correct"""
Jack Pickering,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/0275z1l,"""correct"""
Kshitij,http://dbpedia.org/ontology/wikiPageExternalLink,http://www.moneycontrol.com/news-topic/kharagpur/video-%255Bpart-1%255D-acro-dunking-kshitij-2011-iit-kharagpur_ExC-agidTMk.html/,"""incorrect"""
Awadh,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/5/5c/Lalbagh_gate_faizabad_c.1801.jpg,"""correct"""
George Ferrers,http://xmlns.com/foaf/0.1/depiction,http://upload.wikimedia.org/wikipedia/commons/0/02/Magna_Carta.jpg,"""correct"""
Far North Line,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/05rx49,"""correct"""
_krdlovice,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/07kffll,"""correct"""
Fort Saskatchewan,http://www.w3.org/2002/07/owl#sameAs,http://rdf.freebase.com/ns/m/02w532,"""correct"""
