subject_label,predicat_label,object,first_answer,majority_voting
Murray Grigor,spouse,Barbara Grigor awards ,"""incorrect""","""correct"""
Murray Grigor,yearsactive,1967,"""incorrect""","""incorrect"""
Nabil Farouk,birth date,"February, ""","""no sense""","""incorrect"""
Nemerle,latest release date,5/13/11,"""correct""","""correct"""
Nemerle,latest release version,1,"""incorrect""","""correct"""
Newmarket Town F.C.,body,FFFF00 ,"""correct""","""correct"""
Newmarket Town F.C.,founded,22,"""incorrect""","""incorrect"""
Newmarket Town F.C.,name,Newmarket Town ,"""correct""","""correct"""
Newmarket Town F.C.,rightarm,FFFF00 ,"""idk""","""correct"""
Newmarket Town F.C.,shorts,0,"""no sense""","""incorrect"""
Newmarket Town F.C.,shorts,0000FF ,"""idk""","""correct"""
Newmarket Town F.C.,socks,0,"""incorrect""","""incorrect"""
Newmarket Town F.C.,socks,0000FF ,"""correct""","""correct"""
Northamptonshire Regiment,dates,1881,"""incorrect""","""incorrect"""
OConnor Park,dimensions,5400,"""incorrect""","""incorrect"""
Oncorhynchus,subdivision,See text ,"""correct""","""correct"""
Oreye,Map,Oreye Li•À_ge Belgium Map.png ,"""no sense""","""correct"""
Oreye,picture,Oreye JPG02.jpg ,"""correct""","""correct"""
Oreye,telephone-area,19,"""correct""","""incorrect"""
Pala Pala,released,16,"""incorrect""","""incorrect"""
Pariisin KevÌ_t,background,group_or_band ,"""idk""","""correct"""
Pariisin KevÌ_t,years active,2007,"""incorrect""","""correct"""
Pavlovo-Posadsky District,adm data as of,10-Jul,"""incorrect""","""incorrect"""
Pavlovo-Posadsky District,area as of,11-Jun,"""correct""","""correct"""
Pavlovo-Posadsky District,mun data as of,11-Jun,"""incorrect""","""correct"""
Pavlovo-Posadsky District,p,40173,"""incorrect""","""nosense"""
Pedro de Ciancio,DATE OF BIRTH,16,"""correct""","""incorrect"""
Proquazone,IUPAC name,1,"""incorrect""","""incorrect"""
Quebec City Armoury,address,805,"""incorrect""","""incorrect"""
Quebec City Armoury,address,805,"""correct""","""incorrect"""
QuÌÁn ThÌÁnh Temple,start date,11,"""incorrect""","""correct"""
Racial Harmony Day,Date,21,"""incorrect""","""incorrect"""
Ramesh Bais,children,1,"""incorrect""","""incorrect"""
Ramesh Bais,children,1 son and 2 daughters ,"""correct""","""correct"""
Ramesh Bais,Date,-16,"""incorrect""","""incorrect"""
Ramesh Bais,DATE OF BIRTH,2,"""incorrect""","""incorrect"""
Rastislali€à noble family,ethnicity,Serb ,"""correct""","""correct"""
Renato Tosio,active years end year,2001-01-01T00:00:00+01:00 ,"""correct""","""incorrect"""
Renato Tosio,active years end year,2001-01-01T00:00:00+02:00 ,"""incorrect""","""incorrect"""
Renato Tosio,active years start year,1980-01-01T00:00:00+01:00 ,"""correct""","""incorrect"""
Renato Tosio,active years start year,1980-01-01T00:00:00+02:00 ,"""correct""","""incorrect"""
Renault 4P,fuelsystem,1,"""incorrect""","""incorrect"""
Renault 4P,fueltype,80,"""correct""","""correct"""
Renault 4P,oilcon,0,"""no sense""","""nosense"""
Renault 4P,oilsystem,"Pressure fed, , dry sump ""","""correct""","""correct"""
Rip Van Winkle,description,of a 1896 Rip Van Winkle film starring Joseph Jefferson ,"""incorrect""","""nosense"""
RMS Caronia,Ship acquired,Dec-48,"""correct""","""correct"""
RMS Caronia,Ship christened,-20,"""incorrect""","""incorrect"""
Robert Bates (loyalist),birth date,12,"""incorrect""","""incorrect"""
Robert Bates (loyalist),DATE OF BIRTH,12,"""incorrect""","""incorrect"""
Robert Bates (loyalist),DATE OF DEATH,11,"""incorrect""","""incorrect"""
Robert Bates (loyalist),death date,11,"""incorrect""","""incorrect"""
Rock-paper-scissors,image link,300,"""incorrect""","""incorrect"""
Rodney Goggins,DATE OF BIRTH,25,"""correct""","""incorrect"""
Rodney Goggins,High break,135,"""correct""","""correct"""
Rodrigo Salinas,birth place,http://dbpedia.org/resource/Puebla_F.C.,"""incorrect""","""incorrect"""
Rodrigo Salinas,clubs,? Morelia ,"""incorrect""","""incorrect"""
Rodrigo Salinas,DATE OF BIRTH,9,"""incorrect""","""incorrect"""
Rodrigo Salinas,height (ë_),1.78,"""incorrect""","""correct"""
Rodrigo Salinas,name,Rodrigo Salinas ,"""incorrect""","""correct"""
RPL (programming language),operating system,http://dbpedia.org/resource/Calculators,"""incorrect""","""incorrect"""
RPL (programming language),operating system,http://dbpedia.org/resource/Hewlett-Packard,"""incorrect""","""incorrect"""
Sailing at the 1956 Summer Olympics ‰ÛÒ Dragon,dates,3,"""incorrect""","""incorrect"""
Sailing at the 1956 Summer Olympics ‰ÛÒ Dragon,dates,26,"""incorrect""","""incorrect"""
Selected anniversaries/September 20,comment,{.. /doc} Staging area ,"""idk""","""idk"""
Selected anniversaries/September 20,has abstract,{.. /doc} Staging area ,"""no sense""","""nosense"""
Sengge Rinchen,DATE OF BIRTH,1811,"""correct""","""correct"""
Sengge Rinchen,DATE OF DEATH,1865,"""correct""","""correct"""
Siege of Lleida (1644),Date,-23,"""incorrect""","""incorrect"""
Simon Thirgood,DATE OF BIRTH,6,"""incorrect""","""incorrect"""
Simon Thirgood,DATE OF DEATH,30,"""correct""","""incorrect"""
"Sir Edward Boyle, 1st Baronet",DATE OF DEATH,19,"""incorrect""","""incorrect"""
"Sir Edward Boyle, 1st Baronet",DATE OF BIRTH,6,"""incorrect""","""incorrect"""
Soul Fixin' Man,type,studio ,"""correct""","""correct"""
"St Mary the Virgin's Church, Walney",designated date,6,"""correct""","""incorrect"""
"St. Louis School, Hong Kong",alumni,[[#Notable Alumni ,"""incorrect""","""correct"""
"St. Louis School, Hong Kong",campus size,"10,000 m_ ""","""correct""","""incorrect"""
"St. Louis School, Hong Kong",free text,16,000 m_ ,"""incorrect"""
"St. Louis School, Hong Kong",streetaddress,179,"""no sense""","""incorrect"""
Stephen Hillenburg,occupation,http://dbpedia.org/resource/Stephen_Hillenburg__1,"""incorrect""","""incorrect"""
Stephen Hillenburg,yearsactive,1991,"""incorrect""","""correct"""
"Stephenson, Virginia",blank name,http://dbpedia.org/resource/Federal_Information_Processing_Standard,"""no sense""","""incorrect"""
"Stephenson, Virginia",blank1 info,1740338,"""incorrect""","""incorrect"""
"Stephenson, Virginia",blank1 name,GNIS feature ID ,"""incorrect""","""correct"""
"Stephenson, Virginia",coordinates display,"inline,title ""","""correct""","""correct"""
Steve Hirschi,DATE OF BIRTH,18,"""correct""","""incorrect"""
Stevie B,active years start year,1980-01-01T00:00:00+02:00 ,"""incorrect""","""incorrect"""
Stevie B,birth date,-15,"""incorrect""","""incorrect"""
Stevie B,DATE OF BIRTH,1958,"""correct""","""incorrect"""
Stevie B,years active,1980,"""incorrect""","""incorrect"""
Stevie B,years active,1987,"""incorrect""","""correct"""
Suicide at Seventeen,Name,Suicide at Seventeenthumb| ,"""incorrect""","""incorrect"""
Symmetry in biology,Date,2.01E+13,"""incorrect""","""incorrect"""
Teo Chee Hean,DATE OF BIRTH,27,"""incorrect""","""incorrect"""
Teo Chee Hean,serviceyears,1972,"""incorrect""","""incorrect"""
Teo Chee Hean,term end,1,"""idk""","""idk"""
Teo Chee Hean,term end,15,"""incorrect""","""incorrect"""
Teo Chee Hean,term end,17,"""incorrect""","""incorrect"""
Teo Chee Hean,term end,20,"""no sense""","""incorrect"""
Teo Chee Hean,term start,1,"""incorrect""","""incorrect"""
Teo Chee Hean,term start,20,"""incorrect""","""incorrect"""
Teo Chee Hean,term start,21,"""incorrect""","""incorrect"""
Teo Chee Hean,term start,25,"""correct""","""incorrect"""
Teo Chee Hean,term start,26,"""incorrect""","""incorrect"""
Terri Bonoff,DATE OF BIRTH,1957,"""incorrect""","""incorrect"""
The Lizard (album),Cover,The Lizard  coverart.jpg ,"""correct""","""incorrect"""
The Sandman: Season of Mists,anth,y ,"""incorrect""","""correct"""
The Sandman: Season of Mists,isbn,1,"""incorrect""","""incorrect"""
The Sandman: Season of Mists,no footnotes,9-Jan,"""correct""","""correct"""
The Sandman: Season of Mists,notable,y ,"""correct""","""correct"""
The Sandman: Season of Mists,refimprove,9-Jan,"""correct""","""correct"""
The Sandman: Season of Mists,sortkey,Season Of Mist ,"""incorrect""","""correct"""
This Is Not My Life,format,576,"""incorrect""","""incorrect"""
This Is Not My Life,format,720,"""no sense""","""nosense"""
Tim Flood (hurler),DATE OF BIRTH,8,"""incorrect""","""incorrect"""
Timothy Upham,commands,1,"""incorrect""","""incorrect"""
Tiszaszentimre,area total (m2),6.56E+07,"""incorrect""","""incorrect"""
Tiszaszentimre,area total km,66,"""incorrect""","""incorrect"""
Tiszaszentimre,population total,2378,"""correct""","""correct"""
Tom Fridley,DATE OF BIRTH,15,"""incorrect""","""incorrect"""
Trip Lee,active years start year,2005-01-01T00:00:00+02:00 ,"""correct""","""correct"""
U.S. Route 78 in Alabama,route number,78,"""correct""","""correct"""
Uku\, Nepal,subdivision type,Country ,"""correct"""
Vailly-sur-Aisne,area km,9,"""incorrect""","""incorrect"""
Vailly-sur-Aisne,area km,10,"""incorrect""","""incorrect"""
Vailly-sur-Aisne,latitude,49,"""correct""","""incorrect"""
Vailly-sur-Aisne,Longitude,3,"""incorrect""","""incorrect"""
Vailly-sur-Aisne,point,49.41 3.5172 ,"""incorrect""","""incorrect"""
Vailly-sur-Aisne,postal code,2370,"""correct""","""correct"""
Vailly-sur-Aisne,term,2008,"""correct""","""correct"""
Viglen,company logo,150,"""incorrect""","""incorrect"""
Viglen,company logo,150px|Viglen logo ,"""correct""","""correct"""
Vincenzo Iaquinta,clubs,? Cesena ,"""incorrect""","""incorrect"""
Walter Flowers,DATE OF BIRTH,1933,"""incorrect""","""incorrect"""
Walter Flowers,DATE OF DEATH,1984,"""incorrect""","""incorrect"""
Walter Flowers,district,5,"""incorrect""","""incorrect"""
Walter Flowers,district,7,"""incorrect""","""incorrect"""
Wayuu (disambiguation),Wikipage disambiguates,http://dbpedia.org/resource/Wayuunaiki_,"""incorrect""","""incorrect"""
WÌ_llersdorf-SteinabrÌ_ckl,Adresse,2752,"""incorrect""","""correct"""
WÌ_llersdorf-SteinabrÌ_ckl,wikipedia page,http://en.wikipedia.org/wiki/W_llersdorf-SteinabrÌ_ckl,"""correct""","""incorrect"""
William S. Fulton,term,-9,"""correct""","""incorrect"""
William S. Fulton,years,-9,"""incorrect""","""incorrect"""
William Watson Ogilvie,birth year,1835-01-01T00:00:00+02:00 ,"""incorrect""","""incorrect"""
William Watson Ogilvie,DATE OF BIRTH,15,"""incorrect""","""incorrect"""
William Watson Ogilvie,DATE OF DEATH,12,"""correct""","""incorrect"""
William Watson Ogilvie,death place,http://dbpedia.org/resource/Quebec,"""incorrect""","""incorrect"""
Winifred Todhunter,DATE OF BIRTH,1877,"""correct""","""correct"""
Zellers,company logo,175,"""correct""","""incorrect"""
Zellers,locations,162,"""incorrect""","""incorrect"""
Zellers,locations,272,"""incorrect""","""incorrect"""
Zheng Zhu,DATE OF DEATH,835,"""correct""","""correct"""
