subject_label,predicate,object,first_answer,majority_voting
'Public transport in Debrecen','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.hajduvolan.hu/',"""incorrect""","""correct"""
'Pulaski Day Parade','http://dbpedia.org/property/wikiPageUsesTemplate','http://dbpedia.org/resource/Template%3AInfobox_Holiday',"""incorrect""","""incorrect"""
'Puppy (film)','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/04gly92',"""no sense""","""correct"""
'Purtscher retinopathy','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/07kjn28',"""no sense""","""correct"""
'Quebec City Armoury','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0407q_p',"""correct""","""correct"""
'Ramesh Bais','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0g2m7k',"""correct""","""correct"""
'Renato Tosio','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0gmcmy',"""correct""","""correct"""
'RMS Caronia','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02x56p',"""correct""","""correct"""
'Robert Wangila','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/06sprg',"""no sense""","""correct"""
'Rock-paper-scissors','http://dbpedia.org/ontology/wikiPageExternalLink','http://www.usarps.com/',"""incorrect""","""incorrect"""
'Royal Penguin','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/034zxc',"""no sense""","""correct"""
'Sadar North Baptist Association','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0fmq_w',"""correct""","""correct"""
'Salasco','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0g8r69',"""correct""","""correct"""
'Sengge Rinchen','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Sengge_Rinchen.jpg/200px-Sengge_Rinchen.jpg',"""correct""","""correct"""
'Sengge Rinchen','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02w1z_2',"""no sense""","""correct"""
'Sengge Rinchen','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/7/77/Sengge_Rinchen.jpg',"""correct""","""correct"""
'Sentinelese people','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/04tlr6',"""correct""","""correct"""
'Sentinelese people','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/c/c2/Andamanese_comparative_distribution.png',"""correct""","""correct"""
'Soleidae','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Pegusa_lascaris.jpg/200px-Pegusa_lascaris.jpg',"""correct""","""correct"""
'Soleidae','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02fwxn',"""no sense""","""correct"""
'Sondra Theodore','http://dbpedia.org/property/wikiPageUsesTemplate','http://dbpedia.org/resource/Template%3AImdb_name',"""incorrect""","""incorrect"""
'Sondra Theodore','http://dbpedia.org/property/wikiPageUsesTemplate','http://dbpedia.org/resource/Template%3AInfobox_Playboy_Playmate',"""correct""","""incorrect"""
'Sondra Theodore','http://dbpedia.org/property/wikiPageUsesTemplate','http://dbpedia.org/resource/Template%3APersondata',"""no sense""","""incorrect"""
'Sondra Theodore','http://dbpedia.org/property/wordnet_type','http://www.w3.org/2006/03/wn/wn20/instances/synset-model-noun-3',"""incorrect""","""correct"""
"Spencer, Ohio",'http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/OHMap-doton-Spencer.png/200px-OHMap-doton-Spencer.png',"""correct""","""correct"""
"Spencer, Ohio",'http://dbpedia.org/ontology/wikiPageExternalLink','http://www.medina-ohio.net/',"""incorrect""","""incorrect"""
'Sterling Ridge','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AZMap-doton-Glendale.png/200px-AZMap-doton-Glendale.png',"""correct""","""correct"""
'Sterling Ridge','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/3/37/AZMap-doton-Glendale.png',"""correct""","""correct"""
'Symmetry in biology','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/04bg9x',"""no sense""","""no sense"""
'Symmetry in biology','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/a/af/20_petit_paon_de_nuit.jpg',"""correct""","""correct"""
'Teo Chee Hean','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Teo_Chee_Hean.jpg/200px-Teo_Chee_Hean.jpg',"""correct""","""correct"""
'Teo Chee Hean','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/03z6ls',"""correct""","""correct"""
'Teo Chee Hean','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/3/38/Teo_Chee_Hean.jpg',"""correct""","""correct"""
'TerraSAR-X','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/en/0/0b/TerraSARX_Logo.png',"""correct""","""correct"""
'The Emergency (Ireland)','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02swfm',"""correct""","""correct"""
'This Is Not My Life','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0cnyt_z',"""correct""","""correct"""
'Tim Flood (hurler)','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/04g0m2r',"""no sense""","""correct"""
'Trinidad and Tobago dollar','http://dbpedia.org/property/wikiPageUsesTemplate','http://dbpedia.org/resource/Template%3AInfobox_Currency',"""incorrect""","""incorrect"""
'Trip Lee','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/TripLee.jpg/200px-TripLee.jpg',"""correct""","""correct"""
'Trip Lee','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02rw29w',"""correct""","""correct"""
'Trip Lee','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/c/c7/TripLee.jpg',"""correct""","""correct"""
'Trophic state index','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Lake_George_from_village_beach.jpg/200px-Lake_George_from_village_beach.jpg',"""correct""","""correct"""
'Trophic state index','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/03nws6n',"""no sense""","""correct"""
'Trophic state index','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/e/e1/Lake_George_from_village_beach.jpg',"""correct""","""correct"""
'Trustor affair','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/09k5syp',"""no sense""","""correct"""
'U.S. Route 78 in Alabama','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/0c8g1m',"""correct""","""correct"""
'Vailly-sur-Aisne','http://dbpedia.org/ontology/thumbnail','http://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Blason_Vailly-sur-Aisne.svg/200px-Blason_Vailly-sur-Aisne.svg.png',"""correct""","""correct"""
'Vailly-sur-Aisne','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/03m7qxt',"""no sense""","""correct"""
'Vailly-sur-Aisne','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/1/15/Blason_Vailly-sur-Aisne.svg',"""correct""","""correct"""
'Viglen','http://dbpedia.org/ontology/wikiPageExternalLink','http://viglen.software2.co.uk',"""correct""","""correct"""
'Vincenzo Iaquinta','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/05z1yg',"""no sense""","""correct"""
'Vincenzo Iaquinta','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/7/73/Vincenzo_Iaquinta.jpg',"""correct""","""correct"""
'Walter Flowers','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/02qhdcb',"""correct""","""correct"""
'Yamaha Virago','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/03zc0n',"""correct""","""correct"""
'Yamaha Virago','http://xmlns.com/foaf/0.1/depiction','http://upload.wikimedia.org/wikipedia/commons/6/66/Yamaha_Virago_535_azure_blue.jpg',"""correct""","""correct"""
'Zheng Zhu','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/09g89qg',"""no sense""","""no sense"""
'ÅÊkrdlovice','http://www.w3.org/2002/07/owl#sameAs','http://rdf.freebase.com/ns/m/07kffll',"""no sense""","""correct"""
